           2           1   2.72500000000000     
           3           1   2.72500000000000     
           3           2  0.000000000000000E+000
           4           1  0.000000000000000E+000
           4           2   2.72500000000000     
           4           3   2.72500000000000     
           5           1  -1.36250000000000     
           5           2   1.36250000000000     
           5           3   1.36250000000000     
           5           4  -1.36250000000000     
           6           1   1.36250000000000     
           6           2  -1.36250000000000     
           6           3  -1.36250000000000     
           6           4   1.36250000000000     
           6           5   2.72500000000000     
           7           1   1.36250000000000     
           7           2  -1.36250000000000     
           7           3  -1.36250000000000     
           7           4   1.36250000000000     
           7           5   2.72500000000000     
           7           6  0.000000000000000E+000
           8           1  -1.36250000000000     
           8           2   1.36250000000000     
           8           3   1.36250000000000     
           8           4  -1.36250000000000     
           8           5  0.000000000000000E+000
           8           6   2.72500000000000     
           8           7   2.72500000000000     
